"","ccode","year","confid","dyadid","dyadep","state","rebel","rebelid","conf_dur","ep_dur","term","outcome","agree","peace","cease","checks","polariz","frag","intrafrag","rebfrag","pgm_lib","pgm_con","pgm_lib_log","pgm_con_log","checks_log"
"1",0,2004,"1-225",439,43901,"Ivory Coast","FRCI",1412,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,0,0,0,NA
"2",2,1950,"1-41",698,69801,"United States of America","Puerto Rican Nationalist Party",1594,1,1,1,3,0,0,0,NA,NA,-2.46138039474411,1.03305328087845,2,0,0,0,0,NA
"3",2,2001,"1-224",360,36001,"United States of America","al-Qaida",1630,1,1,0,0,0,0,0,4,0,-1.03118939665362,-0.387894206085421,2,0,0,0,0,1.41098697371026
"4",2,2002,"1-224",360,36001,"United States of America","al-Qaida",1630,2,2,0,0,0,0,0,4,0,-0.817243552244983,-0.387894206085421,2,0,0,0,0,1.41098697371026
"5",2,2003,"1-224",360,36001,"United States of America","al-Qaida",1630,3,3,0,0,0,0,0,4,0,-1.44058587650474,-0.207448717807438,2,0,0,0,0,1.41098697371026
"6",2,2004,"1-224",360,36001,"United States of America","al-Qaida",1630,4,4,0,0,0,0,0,4,0,-1.20550395163376,-0.207448717807438,2,0,0,0,0,1.41098697371026
"7",2,2005,"1-224",360,36001,"United States of America","al-Qaida",1630,5,5,0,0,0,0,0,4,0,-1.20550395163376,-0.207448717807438,2,0,0,0,0,1.41098697371026
"8",2,2006,"1-224",360,36001,"United States of America","al-Qaida",1630,6,6,0,0,0,0,0,4,0,-1.20550395163376,-0.207448717807438,2,0,0,0,0,1.41098697371026
"9",2,2007,"1-224",360,36001,"United States of America","al-Qaida",1630,7,7,0,0,0,0,0,4,0,-0.22475325669861,-0.297543964798827,2,0,0,0,0,1.41098697371026
"10",2,2008,"1-224",360,36001,"United States of America","al-Qaida",1630,8,8,0,0,0,0,0,4,0,-0.188498666477485,-0.297543964798827,2,0,0,0,0,1.41098697371026
"11",2,2009,"1-224",360,36001,"United States of America","al-Qaida",1630,9,9,0,0,0,0,0,4,0,-1.47530769206678,-0.480503641182159,2,0,0,0,0,1.41098697371026
"12",2,2010,"1-224",360,36001,"United States of America","al-Qaida",1630,10,10,0,0,0,0,0,4,0,-1.61879925292085,-0.0150568550774204,2,0,0,0,0,1.41098697371026
