"","ccode","year","confid","dyadid","dyadep","state","rebel","rebelid","conf_dur","ep_dur","term","outcome","agree","peace","cease","checks","polariz","frag","intrafrag","rebfrag","pgm_lib","pgm_con","pgm_lib_log","pgm_con_log","checks_log"
"254",200,1948,"1-31",693,69301,"United Kingdom","CPM",1038,1,1,0,0,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,0,0,0,0,NA
"255",200,1949,"1-31",693,69301,"United Kingdom","CPM",1038,2,2,0,0,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,1,1,0.0953101798043249,0.0953101798043249,NA
"256",200,1950,"1-31",693,69301,"United Kingdom","CPM",1038,3,3,0,0,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,1,1,0.0953101798043249,0.0953101798043249,NA
"257",200,1951,"1-31",693,69301,"United Kingdom","CPM",1038,4,4,0,0,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,1,1,0.0953101798043249,0.0953101798043249,NA
"258",200,1952,"1-31",693,69301,"United Kingdom","CPM",1038,5,5,0,0,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,1,1,0.0953101798043249,0.0953101798043249,NA
"260",200,1953,"1-31",693,69301,"United Kingdom","CPM",1038,6,6,0,0,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,1,1,0.0953101798043249,0.0953101798043249,NA
"263",200,1954,"1-31",693,69301,"United Kingdom","CPM",1038,7,7,0,0,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,1,1,0.0953101798043249,0.0953101798043249,NA
"264",200,1955,"1-31",693,69301,"United Kingdom","CPM",1038,8,8,0,0,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,1,1,0.0953101798043249,0.0953101798043249,NA
"267",200,1956,"1-31",693,69301,"United Kingdom","CPM",1038,9,9,0,0,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,1,1,0.0953101798043249,0.0953101798043249,NA
"271",200,1957,"1-31",693,69301,"United Kingdom","CPM",1038,10,10,1,6,0,0,0,NA,NA,-2.30496284654346,-1.2955969248581,2,1,1,0.0953101798043249,0.0953101798043249,NA
"501",373,1991,"1-193",361,36101,"Azerbaijan","Republic of Nagorno-Karabakh",1181,1,1,0,0,0,0,0,NA,NA,0.972631376740595,-1.04901130229339,2,0,0,0,0,NA
"502",373,1992,"1-193",361,36101,"Azerbaijan","Republic of Nagorno-Karabakh",1181,2,2,0,0,0,0,0,1,0,0.326192877918565,-0.26823037169653,2,0,0,0,0,0.0953101798043249
"503",373,1993,"1-193",361,36101,"Azerbaijan","Republic of Nagorno-Karabakh",1181,3,3,0,0,0,0,0,NA,NA,1.45163131847685,-0.26823037169653,2,0,0,0,0,NA
"505",373,1994,"1-193",361,36101,"Azerbaijan","Republic of Nagorno-Karabakh",1181,4,4,1,2,1,0,1,NA,NA,2.46338391671514,-1.02245362268884,2,0,0,0,0,NA
"507",373,1997,"1-193",361,36102,"Azerbaijan","Republic of Nagorno-Karabakh",1181,5,1,0,0,0,0,0,1,0,2.46338391671514,-1.02245362268884,2,0,0,0,0,0.0953101798043249
"508",373,1998,"1-193",361,36102,"Azerbaijan","Republic of Nagorno-Karabakh",1181,6,2,1,5,0,0,0,1,0,2.46338391671514,-1.02245362268884,2,0,0,0,0,0.0953101798043249
"509",373,2005,"1-193",361,36103,"Azerbaijan","Republic of Nagorno-Karabakh",1181,7,1,1,5,0,0,0,1,0,-0.411205402744615,-1.70606069179676,2,0,0,0,0,0.0953101798043249
"510",373,2008,"1-193",361,36104,"Azerbaijan","Republic of Nagorno-Karabakh",1181,8,1,1,5,0,0,0,2,NA,-0.411205402744615,-1.7159067585723,2,0,0,0,0,0.741937344729377
"511",373,2012,"1-193",361,36105,"Azerbaijan","Republic of Nagorno-Karabakh",1181,9,1,1,5,0,0,0,1,0,-0.411205402744615,-1.97294269860124,2,0,0,0,0,0.0953101798043249
"512",373,2014,"1-193",361,36106,"Azerbaijan","Republic of Nagorno-Karabakh",1181,10,1,NA,0,0,0,0,1,0,-0.490682623730807,-0.981276797535766,2,0,0,0,0,0.0953101798043249
"532",433,1990,"1-180",129,12901,"Senegal","MFDC",1381,1,1,1,2,1,0,1,2,0,0.960055834209067,-0.489526931603412,NA,0,0,0,0,0.741937344729377
"533",433,1992,"1-180",129,12902,"Senegal","MFDC",1381,2,1,0,0,0,0,0,2,0,0.960055834209067,-0.489526931603412,NA,0,0,0,0,0.741937344729377
"534",433,1993,"1-180",129,12902,"Senegal","MFDC",1381,3,2,1,2,1,0,1,2,0,0.960055834209067,-0.489526931603412,NA,0,0,0,0,0.741937344729377
"535",433,1995,"1-180",129,12903,"Senegal","MFDC",1381,4,1,1,5,0,0,0,2,0,0.960055834209067,-0.489526931603412,NA,0,0,0,0,0.741937344729377
"536",433,1997,"1-180",129,12904,"Senegal","MFDC",1381,5,1,0,0,0,0,0,2,0,0.960055834209067,-0.489526931603412,NA,0,0,0,0,0.741937344729377
"537",433,1998,"1-180",129,12904,"Senegal","MFDC",1381,6,2,1,5,0,0,0,2,0,0.960055834209067,-0.489526931603412,NA,0,0,0,0,0.741937344729377
"538",433,2000,"1-180",129,12905,"Senegal","MFDC",1381,7,1,0,0,0,0,0,2,0,0.241216855038033,-0.489526931603412,NA,0,0,0,0,0.741937344729377
"539",433,2001,"1-180",129,12905,"Senegal","MFDC",1381,8,2,1,5,0,0,0,5,2,0.241216855038033,-0.489526931603412,NA,0,0,0,0,1.62924053973028
"540",433,2003,"1-180",129,12906,"Senegal","MFDC",1381,9,1,1,1,1,1,0,3,0,0.241216855038033,-0.489526931603412,NA,0,0,0,0,1.1314021114911
"541",433,2011,"1-180",129,12907,"Senegal","MFDC",1381,10,1,1,5,0,0,0,2,0,0.120844248767843,-0.489526931603412,NA,0,0,0,0,0.741937344729377
